Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
244920,A Plus Asset,10100,-420,-3.99,10490,10490,9970,47879,483934220,2.28338E+11,22607693
140910,A REIT,1098,-2032,-64.92,700,1099,700,1895515,1683955500,4900409136,4463032
15260,A&P,517,-27,-4.96,548,707,512,10720222,7028692652,24359434198,47116894
78520,ABLE C&C,12320,-600,-4.64,12930,12930,11840,126552,1546890260,3.20494E+11,26014161
18250,AEKYUNG INDUSTRIAL,14160,1000,7.6,14450,14450,13300,463083,6418591340,3.73965E+11,26409935
95570,AJ Networks,4450,-160,-3.47,4570,4650,4405,310840,1387566457,2.01375E+11,45252759
9320,AJIN ELEC COMPONENTS,929,-33,-3.43,962,990,918,219294,203504008,45799486330,49299770
139990,AJUSTEEL,2810,-85,-2.94,2910,2910,2800,65079,183360039,1.08903E+11,38755414
161000,AK CHEMICAL,12850,-710,-5.24,13530,13550,12830,272963,3566312905,6.25136E+11,48648709
6840,AK Holdings,7240,-310,-4.11,7600,7640,7110,22201,160601990,95912341640,13247561
1780,ALUKO,2235,-95,-4.08,2330,2345,2180,1177172,2617157512,2.16415E+11,96830132
90430,AMOREPACIFIC,115100,-300,-0.26,116300,116300,112000,877733,1.00695E+11,6.73252E+12,58492759
2790,AMOREPACIFIC Holdings,22900,200,0.88,22750,22950,22100,164623,3721271125,1.75089E+12,76458180
2795,AMOREPACIFIC Holdings(1P),10270,-150,-1.44,10320,10380,10110,15880,161756820,65534636440,6381172
00279K,AMOREPACIFIC Holdings(3PC),20300,150,0.74,20350,20350,19720,6260,125120725,1.43972E+11,7092200
90435,AMOREPACIFIC(1P),37400,-700,-1.84,39000,39050,37100,26717,1005579100,3.94863E+11,10557830
278470,APR,395500,-5000,-1.25,396500,399000,379000,552743,2.16231E+11,1.48068E+13,37438155
2030,ASIA HOLDINGS,202000,-1000,-0.49,204500,209500,201500,3126,640745750,4.15888E+11,2058852
183190,ASIACEMENT,9960,60,0.61,10000,10080,9760,46314,456395360,3.63604E+11,36506428
17900,AUK,10580,-620,-5.54,11430,11490,10210,1633687,17258396940,6.13045E+11,57943763
298690,AirBusan,1802,-47,-2.54,1850,1897,1792,209696,379614345,2.10185E+11,116640000
8700,AnamElec,1282,72,5.95,1210,1490,1210,10842383,15011152151,98874019240,77124820
7460,Aprogen,3890,-70,-1.77,3945,3990,3785,237189,915023722,87223921780,22422602
3060,Aprogen Biologics,3165,50,1.61,3185,3215,3040,90045,278749003,45615163710,14412374
12170,Ascendio,1572,245,18.46,1400,1720,1400,6815854,11056384283,30486261312,19393296
2310,AsiaPaprMfg,7800,-170,-2.13,7810,8000,7630,182449,1415016840,3.07706E+11,39449510
20560,Asiana Airlines,7330,-110,-1.48,7540,7540,7200,220351,1602491945,1.50991E+12,205990711
267850,AsianaIDT,9960,-270,-2.64,10230,10230,9930,12548,125277720,1.10556E+11,11100000
27410,BGF,4450,-115,-2.52,4570,4580,4375,275057,1228880815,4.2594E+11,95716791
282330,BGF Retail,124200,500,0.4,123500,127400,123000,77526,9692945583,2.14666E+12,17283906
90460,BH,30650,-1500,-4.67,32150,32150,29650,704514,21563527050,1.03326E+12,33711538
138930,BNK Financial Group,16820,-290,-1.69,17220,17310,16670,5179129,87263350275,5.2197E+12,310327033
2410,BUMYANG CONST,1935,0,0,0,0,0,0,0,53173451700,27479820
