"date","rank","company","ticker","market_cap_usd","market_cap_trillion_usd","market_cap_label"
"2026-05-22","1","NVIDIA","NVDA","5215046982747","5.215","$5.215T"
"2026-05-22","2","Alphabet","GOOGL","4640090359191","4.64","$4.640T"
"2026-05-22","3","Apple","AAPL","4535849846642","4.536","$4.536T"
"2026-05-22","4","Microsoft","MSFT","3108862271785","3.109","$3.109T"
"2026-05-22","5","Amazon","AMZN","2864308854115","2.864","$2.864T"
"2026-05-22","6","Broadcom","AVGO","1960819842810","1.961","$1.961T"
"2026-05-22","7","TSMC","TSM","1929549880236","1.93","$1.930T"
"2026-05-22","8","Tesla","TSLA","1599674122089","1.6","$1.600T"
"2026-05-22","9","Meta Platforms","META","1548719181319","1.549","$1.549T"
"2026-05-22","10","Micron","MU","846602814435","0.847","$0.847T"
"2026-05-26","1","NVIDIA","NVDA","5203664089388","5.204","$5.204T"
"2026-05-26","2","Alphabet","GOOGL","4711696317942","4.712","$4.712T"
"2026-05-26","3","Apple","AAPL","4528652578007","4.529","$4.529T"
"2026-05-26","4","Microsoft","MSFT","3089996761602","3.09","$3.090T"
"2026-05-26","5","Amazon","AMZN","2853231073468","2.853","$2.853T"
"2026-05-26","6","Broadcom","AVGO","1998081739857","1.998","$1.998T"
"2026-05-26","7","TSMC","TSM","1966755765744","1.967","$1.967T"
"2026-05-26","8","Tesla","TSLA","1628137087953","1.628","$1.628T"
"2026-05-26","9","Meta Platforms","META","1553997853218","1.554","$1.554T"
"2026-05-26","10","Micron","MU","1009926143182","1.01","$1.010T"
"2026-05-27","1","NVIDIA","NVDA","5148929600772","5.149","$5.149T"
"2026-05-27","2","Alphabet","GOOGL","4711090514569","4.711","$4.711T"
"2026-05-27","3","Apple","AAPL","4565665821751","4.566","$4.566T"
"2026-05-27","4","Microsoft","MSFT","3065041003878","3.065","$3.065T"
"2026-05-27","5","Amazon","AMZN","2923784762914","2.924","$2.924T"
"2026-05-27","6","TSMC","TSM","2016411213843","2.016","$2.016T"
"2026-05-27","7","Broadcom","AVGO","1997371422482","1.997","$1.997T"
"2026-05-27","8","Tesla","TSLA","1653558500558","1.654","$1.654T"
"2026-05-27","9","Meta Platforms","META","1612164235744","1.612","$1.612T"
"2026-05-27","10","Micron","MU","1046597198687","1.047","$1.047T"
"2026-05-28","1","NVIDIA","NVDA","5188890570531","5.189","$5.189T"
"2026-05-28","2","Alphabet","GOOGL","4726841402281","4.727","$4.727T"
"2026-05-28","3","Apple","AAPL","4590047426497","4.59","$4.590T"
"2026-05-28","4","Microsoft","MSFT","3171400357984","3.171","$3.171T"
"2026-05-28","5","Amazon","AMZN","2946908247386","2.947","$2.947T"
"2026-05-28","6","TSMC","TSM","2026571136450","2.027","$2.027T"
"2026-05-28","7","Broadcom","AVGO","2019719111003","2.02","$2.020T"
"2026-05-28","8","Tesla","TSLA","1660092305175","1.66","$1.660T"
"2026-05-28","9","Meta Platforms","META","1612240289264","1.612","$1.612T"
"2026-05-28","10","Micron","MU","1041084750629","1.041","$1.041T"
"2026-05-29","1","NVIDIA","NVDA","5113569903826","5.114","$5.114T"
"2026-05-29","2","Alphabet","GOOGL","4608225101744","4.608","$4.608T"
"2026-05-29","3","Apple","AAPL","4583437790619","4.583","$4.583T"
"2026-05-29","4","Microsoft","MSFT","3344086041512","3.344","$3.344T"
"2026-05-29","5","Amazon","AMZN","2910771135913","2.911","$2.911T"
"2026-05-29","6","Broadcom","AVGO","2115312282426","2.115","$2.115T"
"2026-05-29","7","TSMC","TSM","1995995730415","1.996","$1.996T"
"2026-05-29","8","Tesla","TSLA","1636398167541","1.636","$1.636T"
"2026-05-29","9","Meta Platforms","META","1605185279757","1.605","$1.605T"
"2026-05-29","10","Micron","MU","1094608965135","1.095","$1.095T"
