Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
244920,A Plus Asset,10520,-140,-1.31,10660,10860,10370,38726,409444220,2.37833E+11,22607693
140910,A REIT,3130,0,0,0,0,0,0,0,13969290160,4463032
15260,A&P,544,-46,-7.8,591,592,544,225893,126764572,25631590336,47116894
78520,ABLE C&C,12920,50,0.39,12890,13180,12010,87919,1132530405,3.36103E+11,26014161
18250,AEKYUNG INDUSTRIAL,13160,660,5.28,12470,15450,12060,593568,8297537325,3.47555E+11,26409935
95570,AJ Networks,4610,-25,-0.54,4650,4650,4485,192635,875265560,2.08615E+11,45252759
9320,AJIN ELEC COMPONENTS,962,-12,-1.23,967,1010,938,191490,185639191,47426378740,49299770
139990,AJUSTEEL,2895,-45,-1.53,2905,2940,2845,80887,233784120,1.12197E+11,38755414
161000,AK CHEMICAL,13560,210,1.57,13600,13890,12720,408297,5419032300,6.59676E+11,48648709
6840,AK Holdings,7550,-20,-0.26,7850,7850,7180,29156,214853780,1.00019E+11,13247561
1780,ALUKO,2330,-30,-1.27,2360,2440,2245,1582178,3669376470,2.25614E+11,96830132
90430,AMOREPACIFIC,115400,-1200,-1.03,117700,117800,111700,252510,28951101950,6.75006E+12,58492759
2790,AMOREPACIFIC Holdings,22700,-300,-1.3,23000,23100,22050,185510,4170514425,1.7356E+12,76458180
2795,AMOREPACIFIC Holdings(1P),10420,-250,-2.34,10670,10750,10215,21880,228466130,66491812240,6381172
00279K,AMOREPACIFIC Holdings(3PC),20150,-300,-1.47,20450,20500,19500,13572,271731540,1.42908E+11,7092200
90435,AMOREPACIFIC(1P),38100,-750,-1.93,38950,39150,37700,26820,1024083450,4.02253E+11,10557830
278470,APR,400500,15500,4.03,390000,406500,389000,399507,1.59522E+11,1.4994E+13,37438155
2030,ASIA HOLDINGS,203000,-9000,-4.25,210000,211000,201500,2021,412676000,4.17947E+11,2058852
183190,ASIACEMENT,9900,-100,-1,10070,10070,9810,45839,452474410,3.61414E+11,36506428
17900,AUK,11200,-1200,-9.68,12390,12390,10550,1952927,21867999320,6.4897E+11,57943763
298690,AirBusan,1849,-27,-1.44,1854,1876,1835,183765,339863078,2.15667E+11,116640000
8700,AnamElec,1210,-3,-0.25,1213,1248,1173,659698,789503762,93321032200,77124820
7460,Aprogen,3960,-155,-3.77,4035,4350,3810,385226,1509621234,88793503920,22422602
3060,Aprogen Biologics,3115,-240,-7.15,3285,3355,3105,119989,378219830,44894545010,14412374
12170,Ascendio,1327,306,29.97,1021,1327,1021,2253018,2888028756,25734903792,19393296
2310,AsiaPaprMfg,7970,20,0.25,7970,7990,7730,144866,1138172260,3.14413E+11,39449510
20560,Asiana Airlines,7440,20,0.27,7400,7540,7200,207628,1523869885,1.53257E+12,205990711
267850,AsianaIDT,10230,60,0.59,10170,10250,9940,26658,267296565,1.13553E+11,11100000
27410,BGF,4565,25,0.55,4540,4600,4445,173415,782047792,4.36947E+11,95716791
282330,BGF Retail,123700,-2700,-2.14,128200,128200,122000,35795,4421881700,2.13802E+12,17283906
90460,BH,32150,-2900,-8.27,34800,35700,30800,996073,32142917325,1.08383E+12,33711538
138930,BNK Financial Group,17110,-30,-0.18,17150,17370,16670,1031636,17453998345,5.3097E+12,310327033
2410,BUMYANG CONST,1935,0,0,0,0,0,0,0,53173451700,27479820
1460,BYC,39900,-200,-0.5,39700,40100,38550,5683,221622950,2.49221E+11,6246150
1465,BYC(1P),28250,-850,-2.92,28300,28850,27950,418,11788250,60846262500,2153850
35150,Baiksan,10740,-30,-0.28,10770,10930,10500,80541,856536610,2.1511E+11,20028841
5180,Binggrae,72000,800,1.12,71500,72300,70600,35151,2500363550,6.6737E+11,9269031
377740,BioNote,4950,-50,-1,5010,5100,4845,59280,289900000,5.04336E+11,101886048
6740,Blue Industrial Development,589,0,0,0,0,0,0,0,33558621332,56975588
890,BohaeBrew,1463,42,2.96,1421,1463,1397,186474,263525474,40413948575,27624025
2760,Bolak,993,-3,-0.3,998,1005,983,304930,302406692,59480700000,59900000
26940,Bookook Steel,2200,0,0,2200,2240,2150,148265,322933699,44000000000,20000000
1270,BookookSecu,61300,-1100,-1.76,61400,62500,59500,14707,898083900,6.35674E+11,10369886
1275,BookookSecu(1P),31600,-300,-0.94,31950,31950,31500,12815,406615050,94800000000,3000000
3850,Boryung,9130,-170,-1.83,9300,9340,8910,232286,2107198770,7.83237E+11,85787207
3000,BukwangPharm,5050,-40,-0.79,5080,5200,4860,678029,3359544254,4.98257E+11,98664671
11390,BusanInd,52400,-1800,-3.32,54200,54200,50900,8814,460408500,55334400000,1056000
7210,Byuksan,1709,-20,-1.16,1729,1729,1676,235329,400062187,1.117E+11,65360000
13700,CAMUS E&S,1281,-57,-4.26,1335,1335,1278,112523,144955620,76540813230,59750830
6380,CAPRO,3660,0,0,0,0,0,0,0,6.1854E+11,168999996
25620,CHA AI Healthkare,7210,-390,-5.13,7600,7600,7130,15830,114483310,1.31251E+11,18203973
33250,CHASYS,4230,85,2.05,4145,4280,4120,21368,89889120,27072000000,6400000
1560,CHEILGRINDING,9950,-30,-0.3,9950,9980,9840,3393,33549570,75620000000,7600000
2787,CHINHUNG INT (2PB),8060,30,0.37,8150,8150,7550,956,7300970,2376152480,294808
2785,CHINHUNG INT(1PB),3200,40,1.27,3200,3300,3160,3317,10602680,2743097600,857218
2600,CHOHEUNG,139600,-1200,-0.85,141400,141500,139600,12,1685500,83760000000,600000
18470,CHOILALUMINUM,1353,28,2.11,1350,1405,1325,1784834,2409624010,1.71333E+11,126631721
185750,CHONGKUNDANG,79300,500,0.63,78800,79600,78000,58923,4620457050,1.09456E+12,13802780
1630,CHONGKUNDANG HOLDINGS,45200,-200,-0.44,45400,45400,44650,10836,487447175,2.26446E+11,5009861
120030,CHOSUN WELDING,91500,-1200,-1.29,92700,93600,90700,1043,95261600,1.15075E+11,1257651
4920,CITECH,995,-4,-0.4,999,1016,975,199583,198212146,51918972640,52179872
1040,CJ,164600,-4700,-2.78,170900,174000,160300,159907,26623834000,4.80253E+12,29176998
79160,CJ CGV,4560,-10,-0.22,4570,4610,4500,467514,2120476073,7.55056E+11,165582385
97950,CJ CheilJedang,204000,-2500,-1.21,207000,207500,200000,60473,12226149250,3.07105E+12,15054186
97955,CJ CheilJedang(1P),126700,-2400,-1.86,129100,129100,125400,11827,1499527000,1.68186E+11,1327433
120,CJ LOGISTICS,85500,-300,-0.35,86600,86800,83200,87116,7384594750,1.95046E+12,22812344
1045,CJ(1P),80600,-1200,-1.47,81000,82100,78300,3665,292115550,1.82174E+11,2260223
00104K,CJ(4PC),149900,-1600,-1.06,151600,153400,144100,4880,724684400,6.33554E+11,4226512
11150,CJSEAFOOD,2245,0,0,2240,2305,2180,123217,273744651,80664585385,35930773
11155,CJSEAFOOD(1P),12910,-80,-0.62,12990,12990,12610,291,3718010,2582000000,200000
480370,CK Solution,1984,104,5.53,1930,2135,1850,346519,691063031,64443113472,32481408
63160,CKDBio,17640,-160,-0.9,17760,17920,17120,17819,309314385,96772369680,5485962
192820,COSMAX,175100,-1100,-0.62,179000,179000,168600,47676,8218763600,1.9873E+12,11349509
44820,COSMAX bti,18290,-200,-1.08,18500,18850,17680,101301,1831408020,1.75656E+11,9603921
5420,COSMOCHEM,14530,310,2.18,14600,14670,13780,274335,3881679700,5.58072E+11,38408228
21240,COWAY,92400,900,0.98,91500,94100,90700,246327,22793068800,6.53891E+12,70767426
480,CR Holdings,4765,-20,-0.42,4785,4835,4755,30941,147625359,2.23433E+11,46890490
264900,CROWN,8190,70,0.86,8130,8280,8100,17140,139497930,1.0257E+11,12523850
26490K,CROWN(1P),8790,50,0.57,8900,8980,8440,4292,36691490,6799592400,773560
5740,CROWNHAITAI Holdings,6470,30,0.47,6510,6510,6260,21596,136946270,96062335090,14847347
5745,CROWNHAITAI Holdings(1P),6720,0,0,6800,6810,6610,1716,11466710,4036878720,600726
590,CSHOLDINGS,76900,-200,-0.26,77100,78300,76000,367,28139700,88779665800,1154482
112610,CSWIND,48000,-1900,-3.81,50200,50400,46250,631760,30059768000,2.02423E+12,42171403
308170,CTR Mobility,4140,-120,-2.82,4450,4450,4085,19374,81230204,35645400000,8610000
192400,CUCKOO,24750,-50,-0.2,25200,25200,24400,42778,1054781925,8.80164E+11,35562185
284740,CUCKOO HOMESYS,22350,0,0,22700,22800,21700,44997,997050825,5.01474E+11,22437330
68270,Celltrion,190000,-4500,-2.31,194000,194900,184950,682718,1.29169E+11,4.22032E+13,222122341
2420,Century,6390,340,5.62,6170,6790,6000,174734,1106725120,38147967720,5969948
9310,Charm Engineering,5330,0,0,0,0,0,0,0,23329484620,4377014
30000,CheilWorldwide,18310,-30,-0.16,18370,18420,18080,516893,9420092345,2.1064E+12,115041225
51630,ChinYangChem,1711,-69,-3.88,1735,1780,1665,343753,589646488,36273200000,21200000
10640,ChinYangPoly,1934,-81,-4.02,2010,2085,1889,142255,275950283,32297800000,16700000
2780,ChinhungInt,1016,-18,-1.74,1035,1046,988,2053870,2070505631,1.47799E+11,145471745
100250,Chinyang Holdings,2970,5,0.17,3005,3005,2930,93705,276296387,1.89783E+11,63900000
3780,Chinyang Industry,5020,-90,-1.76,5100,5100,4760,341888,1675042852,65260000000,13000000
1550,Chobi,11700,-60,-0.51,11760,11870,11480,64981,755353240,60749196300,5192239
4700,ChokwangLeat,63800,2200,3.57,61600,63800,61300,2737,170016100,4.24215E+11,6649138
4910,ChokwangPaint,3800,-50,-1.3,3900,3900,3650,54324,202393990,48640000000,12800000
950,Chonbang,26750,-350,-1.29,28000,28000,25900,799,21225725,44940000000,1680000
462520,Chosun REF,14720,120,0.82,14600,14930,14430,17753,258546880,1.74508E+11,11855168
650,ChunilExp,202000,-11000,-5.16,219000,237000,200000,34645,7457459000,2.88702E+11,1429220
36420,ContentreeJoongAng,5080,-40,-0.78,5140,5160,4995,74290,374536230,97852524640,19262308
5070,CosmoAM&T,54600,1600,3.02,54800,56500,51400,349804,18719855100,1.81352E+12,33214571
377190,D&D platform REIT,2570,-70,-2.65,2640,2645,2550,154406,398050415,2.27188E+11,88400000
12800,DAECHANG,1510,-110,-6.79,1612,1624,1451,1983204,2999518112,1.37622E+11,91140499
490,DAEDONG CORP.,8610,-230,-2.6,8910,8940,8420,317423,2741965020,2.48199E+11,28826865
8060,DAEDUCK,21450,-100,-0.46,22000,22200,20050,172897,3652870925,6.71108E+11,31287098
00806K,DAEDUCK(1P),13520,-120,-0.88,13650,14000,12750,29615,388108960,16391066640,1212357
439260,DAEHAN SHIPBUILDING,64200,-3300,-4.89,67700,67800,62600,122225,7876988850,2.4453E+12,38088730
69460,DAEHOAL,2660,0,0,0,0,0,0,0,46322277400,17414390
19680,DAEKYO,1145,-13,-1.12,1150,1193,1118,77176,88059206,96984763250,84702850
19685,DAEKYO(1PB),883,-2,-0.23,885,886,865,18141,15799772,17154032170,19426990
5750,DAELIM BATH,4750,-110,-2.26,4860,4895,4650,65816,311934483,78813140000,16592240
16710,DAESUNG HOLDINGS,7340,-180,-2.39,7520,7520,7070,58475,423723310,1.18097E+11,16089459
117580,DAESUNGENERGY,7690,70,0.92,7590,8270,7500,723947,5675646035,2.11475E+11,27500000
128820,DAESUNGIND,6030,-100,-1.63,6130,6260,5950,459809,2781817970,2.7277E+11,45235478
69620,DAEWOONG PHARM,131700,-3000,-2.23,134700,135000,128000,49416,6429937600,1.52595E+12,11586575
3547,DAISHINSECU(2PB),19860,-290,-1.44,20150,20300,19550,62830,1244313870,1.94694E+11,9803333
58730,DASCO,2680,-115,-4.11,2775,2800,2660,123714,335067270,53461232280,19948221
12030,DB,2220,-130,-5.53,2350,2355,2125,2794750,6146133241,4.46606E+11,201173933
990,DB HiTek,194300,-7700,-3.81,203000,203000,185000,574706,1.11145E+11,8.45294E+12,43504588
5830,DB INSURANCE,141100,-3400,-2.35,144100,144100,137500,411643,57661177600,9.2421E+12,65500349
16610,DB Sec,11120,-350,-3.05,11470,11510,10520,132975,1470585320,4.72004E+11,42446389
24090,DCM,11330,60,0.53,11270,11430,11220,9141,103091990,1.29162E+11,11400000
145720,DENTIUM,47400,-800,-1.66,48400,48400,46150,39406,1850342500,4.08772E+11,8623891
300,DHAUTONEX,4200,0,0,0,0,0,0,0,1.74036E+11,41437055
3160,DI,28600,-1600,-5.3,30450,30450,27400,375103,10658063150,8.0938E+11,28300000
1530,DI DONGIL,24800,-500,-1.98,25900,25900,24125,67211,1668414050,5.13747E+11,20715621
4890,DIC,37850,-500,-1.3,38350,38500,37750,1718,65616750,91794387750,2425215
92200,DIC,8200,-260,-3.07,8730,8750,7770,979250,8047425415,3.18886E+11,38888569
15590,DKME,2345,-150,-6.01,2495,2495,2270,457929,1068578727,1.25214E+11,53396308
210,DL,54800,-1400,-2.49,57000,57000,52400,91766,4966436450,1.14838E+12,20955884
375500,DL E&C,76500,-1900,-2.42,77300,78200,72700,540514,40530829550,2.96006E+12,38693623
37550K,DL E&C(1P),24900,-100,-0.4,25000,25700,22550,13380,325081325,52635736500,2113885
37550L,DL E&C(2PC),47000,-1000,-2.08,48500,48500,45400,7408,342027250,99261697000,2111951
215,DL(1P),24150,-550,-2.23,25600,25600,23450,4088,98326275,40719677250,1686115
7340,DN AUTOMOTIVE,44000,-1450,-3.19,46600,46600,42850,202686,8960708575,2.57448E+12,58510865
2150,DOHWA ENGINEERING,5730,-80,-1.38,5870,6000,5650,80475,462440505,1.93216E+11,33720000
2690,DONG IL STEEL,1482,-29,-1.92,1512,1597,1457,79491,119259038,30085133520,20300360
111380,DONG IN ENTECH,13550,140,1.04,13780,13780,13170,14883,197528530,83034400000,6128000
460850,DONGKUK CM,5830,-20,-0.34,5760,5850,5710,85329,493170280,1.74309E+11,29898656
1230,DONGKUK HOLDINGS,11400,0,0,0,0,0,0,0,3.62526E+11,31800483
460860,DONGKUK STEEL,11440,-20,-0.17,11500,11640,11000,200721,2281250620,5.67516E+11,49608017
23450,DONGNAMCHEMICAL,28900,-50,-0.17,28950,29050,28550,1309,37696425,1.0115E+11,3500000
26960,DONGSUH,24850,300,1.22,24700,24850,24100,89662,2187882575,2.47755E+12,99700000
102260,DONGSUNG CHEMICAL,3995,5,0.13,3990,4020,3875,217562,856660222,2.02425E+11,50669591
18500,DONGWON METAL,1589,-31,-1.91,1650,1650,1527,206555,325487666,74293588537,46754933
84670,DONGYANG EXPRESS,37800,-1950,-4.91,40650,45050,36750,405363,16342237800,1.09453E+11,2895569
150,DOOSAN,1660000,-55000,-3.21,1715000,1725000,1573000,103942,1.70594E+11,2.68818E+13,16193835
155,DOOSAN(1P),584000,-22000,-3.63,606000,606000,560000,16923,9851538500,2.33393E+12,3996462
157,DOOSAN(2PB),487000,-28000,-5.44,517000,519000,470500,2072,1014884500,4.3491E+11,893038
12510,DOUZONE BIZON,120000,0,0,120000,120300,120000,6750,810232600,3.77736E+12,31477993
4840,DRB Holding,4785,-10,-0.21,4790,4795,4575,23908,110464265,92218261740,19272364
163560,DRB Industrial,6740,20,0.3,6790,6790,6600,37876,252721190,93686000000,13900000
192650,DREAMTECH,5040,-20,-0.4,5070,5120,4880,400328,1991040768,3.4763E+11,68974199
17860,DS Dansuk,18990,650,3.54,19430,19630,18500,168238,3193702140,3.37246E+11,17759139
155660,DSR,4205,-10,-0.24,4215,4275,4120,21504,89693745,67280000000,16000000
69730,DSRWIRE,5230,-70,-1.32,5450,5450,5100,34961,181285025,75312000000,14400000
16740,DUAL,4725,-15,-0.32,4740,4770,4605,88459,415543935,1.35485E+11,28674024
47040,DWEC,25450,-1300,-4.86,26750,27450,24475,10053333,2.56142E+11,1.04576E+13,410907638
14820,DWS,22450,400,1.81,22650,22650,21550,62773,1377362300,6.50854E+11,28991282
14825,DWS(1P),16100,-60,-0.37,16110,16110,16100,527,8485850,4252187100,264111
13570,DY,4110,-135,-3.18,4245,4245,4025,253426,1038939965,1.08174E+11,26319633
24900,DY DEOKYANG,1884,-14,-0.74,1902,1925,1826,237880,443941936,61352422320,32564980
210540,DY POWER,13160,-310,-2.3,13470,13470,12800,72296,941972555,1.45309E+11,11041708
2880,DYA,800,-27,-3.26,827,827,789,189247,150466995,37419196000,46773995
92780,DYP,5170,100,1.97,5070,5170,4900,72280,362588855,68080938200,13168460
15230,DaechangForging,6220,-140,-2.2,6380,6450,6100,90729,563559660,1.68833E+11,27143620
35320K,DaeduckElectro(1P),36900,-3000,-7.52,39850,39850,33500,96266,3482921225,77324651100,2095519
353200,DaeduckElectronics,164800,1300,0.8,163400,168500,155500,1079846,1.75682E+11,8.14391E+12,49416925
6370,DaeguDptStr,5400,320,6.3,5080,5400,5010,62809,331176120,58436699400,10821611
84010,Daehan Steel,9330,-320,-3.32,9750,9750,9110,53960,503295680,3.20687E+11,34371596
1130,DaehanFlrMill,11820,100,0.85,11630,12010,11400,34063,396855780,1.99758E+11,16900000
3830,DaehanSynthFibr,113600,-1400,-1.22,115300,115300,113100,49,5575600,1.50861E+11,1328000
16090,Daehyun,1613,-7,-0.43,1613,1637,1596,169818,272803730,71427366030,44282310
6570,DaelimTrdg,1910,-3,-0.16,1913,1913,1872,5698,10786208,29079750000,15225000
1680,Daesang,19100,-30,-0.16,19200,19285,18750,94524,1789175055,6.61777E+11,34648025
84690,Daesang Holdings,9410,-170,-1.77,9650,9680,9130,74320,695915330,3.4076E+11,36212538
84695,Daesang Holdings(1P),13700,-300,-2.14,14100,14180,13480,17045,233258110,12514703400,913482
1685,Daesang(1P),15610,-120,-0.76,15730,15760,15300,23647,366328085,21389181030,1370223
6340,DaewonCbl,12360,-700,-5.36,13060,13270,11970,5001206,62245028835,9.69202E+11,78414416
6345,DaewonCbl(1P),14960,30,0.2,14630,17640,13710,861713,13491997565,39213152000,2621200
24890,DaewonChem,3570,-10,-0.28,3565,3655,3405,24973,86412025,29451893100,8249830
430,DaewonKangup,4755,160,3.48,4595,4950,4420,801587,3801805238,2.9481E+11,62000000
3220,Daewonpharm,8970,-40,-0.44,9010,9010,8680,42889,378604315,2.01175E+11,22427583
3090,Daewoong,19000,-800,-4.04,19740,19950,18530,95334,1807775785,1.1047E+12,58141980
14160,DaeyoungPkg,931,-48,-4.9,978,982,918,1349017,1265937675,1.00915E+11,108394549
0030R0,Daishin Value REIT,4175,-65,-1.53,4240,4240,4155,32268,134511934,2.49582E+11,59780000
3540,DaishinSecu,31200,-700,-2.19,31900,31950,30150,155408,4808006525,1.53566E+12,49219763
3545,DaishinSecu(1P),20750,-250,-1.19,21000,21000,20450,119573,2467991500,5.22727E+11,25191667
9190,DaiyangMtl,2010,-70,-3.37,2000,2045,1805,2498586,4862616023,86817176250,43192625
30210,Daol SEC,3800,-15,-0.39,3875,3875,3650,141510,529866269,2.31462E+11,60911106
23590,DaouTech,39900,-1150,-2.8,41200,41850,39150,50860,2033685550,1.72716E+12,43287312
28100,Dong Ah E&C,15100,-80,-0.53,15180,15290,14820,37304,561318965,2.02181E+11,13389502
170900,Donga ST,40950,-50,-0.12,41500,41500,38950,30799,1225559800,3.98354E+11,9727819
640,Donga Socio Holdings,90300,-300,-0.33,89300,90300,88500,18060,1608794200,6.07947E+11,6732527
7590,DongbangAgro,5960,-40,-0.67,5960,6010,5930,15228,90547930,81160758920,13617577
4140,DongbangTrnspt&Log,2160,25,1.17,2135,2175,2095,400158,854567890,1.03619E+11,47971766
5960,Dongbu Corporation,7080,0,0,7130,7190,6810,123309,864749325,1.62462E+11,22946663
5965,Dongbu(1P),17660,-230,-1.29,17890,17890,17590,854,15071170,3986427120,225732
2210,DongsungPharm,973,0,0,0,0,0,0,0,94010780311,96619507
20,DongwhaPharm,5800,-60,-1.02,5910,5910,5670,123252,710641645,1.62003E+11,27931470
30720,DongwonFish,6130,60,0.99,6070,6140,6010,23993,145444580,28527824650,4653805
6040,DongwonInd,35200,-500,-1.4,35700,35800,34550,40562,1420972175,1.55376E+12,44140819
241560,Doosan Bobcat,66800,-1300,-1.91,68200,69000,63600,348207,22887422750,6.40319E+12,95856065
34020,Doosan Enerbility,105900,-2600,-2.4,110600,111800,102200,3224326,3.414E+11,6.78354E+13,640561146
454910,Doosan Robotics,100400,-2600,-2.52,105000,110500,96000,1278622,1.30644E+11,6.50793E+12,64819980
336260,Doosanfc,98500,-3000,-2.96,101900,108900,92500,1038933,1.03507E+11,6.45113E+12,65493726
33626K,Doosanfc(1P),11250,-500,-4.26,11750,12210,10660,67154,763652380,1.50347E+11,13364200
33626L,Doosanfc(2PB),11290,-800,-6.62,12200,12780,11210,8592,100046050,33715327000,2986300
192080,DoubleUGames,70000,2100,3.09,68000,70200,66500,173778,11994921250,1.48214E+12,21173468
4830,Duksung,4080,-50,-1.21,4105,4190,4000,140128,571538540,63974400000,15680000
4835,Duksung(1P),6060,-50,-0.82,6150,6150,6050,5754,35038210,8435520000,1392000
145210,Dynamic Design,224,0,0,0,0,0,0,0,9461013632,42236668
88260,E KOCREF,4180,-200,-4.57,4445,4445,4085,323830,1342713695,2.64768E+11,63341590
84680,E-WORLD,1370,-66,-4.6,1430,1454,1330,686811,942162559,1.94274E+11,141806193
17940,E1,87300,400,0.46,88100,88100,84400,13760,1193333650,5.98878E+11,6860000
450080,ECOPRO MAT,64500,400,0.62,66200,66400,61500,620751,39713396050,4.56051E+12,70705607
74610,ENPLUS,5110,0,0,0,0,0,0,0,44815400070,8770137
365550,ESRKSREIT,4035,-95,-2.3,4060,4060,3980,297320,1190918395,9.92969E+11,246089000
1200,EUGENEIS,4805,-140,-2.83,4950,4960,4610,1462882,6954344940,4.65443E+11,96866418
700,EUSU HOLDINGS,5360,-100,-1.83,5430,5530,5340,71144,383045090,1.39584E+11,26041812
19490,EXICURE HITRON,541,0,0,0,0,0,0,0,41349858070,76432270
8250,EagonInd,3225,-85,-2.57,3345,3370,3145,29757,95802753,35322247875,10952635
11090,Enex,1417,-50,-3.41,1467,1469,1333,128072,177137087,17001630776,11998328
383220,F&F,73200,-1200,-1.61,74400,75200,71000,82530,6006082750,2.80408E+12,38307075
7700,F&F Holdings,17820,140,0.79,17980,17980,17120,10774,187258010,6.97018E+11,39114367
36580,FARMSCO,2580,35,1.38,2600,2600,2490,161610,406636347,94758092940,36727943
133820,FINEBESTEEL,1285,97,8.16,1183,1297,1100,442600,504822972,47692135070,37114502
10820,FIRSTEC,10070,-240,-2.33,10430,10520,9790,1814565,18080681645,4.91133E+11,48771938
93370,FOOSUNG,11890,-370,-3.02,12460,12520,11020,1477671,17274564545,1.27527E+12,107255330
16800,Fursys,29850,700,2.4,29300,29850,28850,842,24592000,3.43275E+11,11500000
11420,GALAXIA SM,1594,-19,-1.18,1616,1616,1581,83804,133413814,43914132536,27549644
500,GAONCABLE,341000,-44500,-11.54,375000,379000,320500,111458,37906082500,5.6412E+12,16543115
6280,GC Biopharma Corp.,142700,-7500,-4.99,152300,152400,140000,85804,12341813550,1.66767E+12,11686538
5250,GC Corp.,13390,-1170,-8.04,14330,14390,13150,474303,6420666305,6.29708E+11,47028210
5257,GC Corp.(2PB),23600,-750,-3.08,24700,24700,23000,3496,82257050,19965364000,845990
11000,GENEONE,1180,3,0.25,1194,1380,1105,9720451,11968218416,1.07242E+11,90882907
114090,GKL,10620,-270,-2.48,10980,10990,10390,616487,6520503060,6.56907E+11,61855670
13870,GMB Korea,4070,-75,-1.81,4145,4250,4000,70804,287715016,77624179600,19072280
83420,GREEN CHEMICAL,5060,-20,-0.39,5140,5140,4900,90066,447563624,1.2144E+11,24000000
78930,GS,74100,-700,-0.94,75200,75400,71100,246173,17994399900,6.88503E+12,92915378
6360,GS E&C,28800,-800,-2.7,29400,29900,27500,1282787,36410883925,2.46475E+12,85581490
1250,GS Global,3440,-25,-0.72,3515,3515,3335,1182738,4021061328,2.83916E+11,82533764
499790,GS P&L,44900,1450,3.34,44000,45850,43100,115703,5140231775,8.90405E+11,19830841
7070,GS Retail,25350,-1650,-6.11,26900,26900,24600,188950,4760194950,2.11945E+12,83607415
78935,GS(1P),55600,-900,-1.59,55800,56800,55100,10674,594673750,99236325600,1784826
37710,Gwangju Shinsegae,34700,-500,-1.42,34700,35150,34200,23070,796811150,2.64663E+11,7627172
3530,H.I.S.C,6200,-140,-2.21,6350,6420,5920,2534387,15496854365,1.3302E+12,214547775
3535,H.I.S.C(1P),7390,-290,-3.78,7710,7720,7200,26192,193809020,35472000000,4800000
241590,H.S.ENTERPRISE,3540,-100,-2.75,3780,3820,3450,198026,699495043,2.14486E+11,60589276
195870,HAESUNG DS,90600,-1700,-1.84,92400,95200,86100,355044,32176872000,1.5402E+12,17000000
86790,HANAFINANCIALGR,115300,-3100,-2.62,117800,118400,112800,801073,92392169700,3.16346E+13,274367748
9420,HANALL BIOPHARMA,62500,-8200,-11.6,67700,68000,59500,1196847,74687597750,3.26504E+12,52240638
