Issue code,Issue name,Trading volume_Sell,Trading volume_Buy,Trading volume_Net Buying,Trading value_Sell,Trading value_Buy,Trading value_Net Buying
454910,Doosan Robotics,11270525,17692967,6422442,1.22E+12,1.88E+12,6.58E+11
6400,"SAMSUNG SDI CO.,LTD.",4664979,5477057,812078,3.06E+12,3.57E+12,5.07E+11
720,HyundaiEng&Const,5206319,7161042,1954723,8.01E+11,1.09E+12,2.93E+11
34220,LG Display,91076453,106848503,15772050,1.33E+12,1.57E+12,2.38E+11
150,DOOSAN,729623,842315,112692,1.24E+12,1.44E+12,1.96E+11
33780,KT&G,4008303,5065147,1056844,7.25E+11,9.17E+11,1.91E+11
810,SamsungF&MIns,2639301,2991526,352225,1.39E+12,1.58E+12,1.86E+11
5490,POSCO Holdings,3169916,3517988,348072,1.47E+12,1.65E+12,1.74E+11
373220,LG Energy Solution,3403721,3762443,358722,1.48E+12,1.64E+12,1.61E+11
259960,KRAFTON,1621763,2198666,576903,4.41E+11,6.01E+11,1.60E+11
34730,SK,2781532,3059671,278139,1.60E+12,1.75E+12,1.48E+11
18880,Hanon Systems,195712125,220570663,24858538,1.02E+12,1.15E+12,1.31E+11
483650,d'Alba Global,1619330,2125041,505711,3.72E+11,4.81E+11,1.09E+11
1440,Taihan Cable & Solution,39043670,40874547,1830877,2.41E+12,2.52E+12,1.02E+11
5387,HyundaiMtr(2PB),2076787,2437234,360447,5.59E+11,6.59E+11,1.00E+11
64350,HYUNDAI ROTEM,6529889,7043323,513434,1.44E+12,1.54E+12,99450041000
375500,DL E&C,4374050,5551694,1177644,3.77E+11,4.73E+11,96208580700
120110,KOLON IND,2130889,3354060,1223171,1.79E+11,2.72E+11,93342337500
78930,GS,2075366,3191145,1115779,1.58E+11,2.43E+11,85044702350
10950,S-Oil,3535848,4280510,744662,3.97E+11,4.80E+11,83615180400
3490,KAL,9210847,12336000,3125153,2.42E+11,3.25E+11,82612917550
62040,SANIL ELECTRIC,3584934,3908070,323136,1.04E+12,1.12E+12,80571208750
272210,HANWHA SYSTEMS,5038311,5784472,746161,5.58E+11,6.39E+11,80242010700
880,Hanwha,2877002,3393328,516326,4.01E+11,4.78E+11,77174079550
204320,HL MANDO,3955837,5195566,1239729,2.41E+11,3.17E+11,76476778700
267270,HD CE,2295922,2748520,452598,3.88E+11,4.63E+11,75055638200
11790,SKC,5229441,5759326,529885,7.82E+11,8.57E+11,74678002780
1450,Hyundai M&F INS,6558694,8526296,1967602,2.29E+11,3.02E+11,73577605850
5385,HyundaiMtr(1P),1654642,1916423,261781,4.46E+11,5.19E+11,73575173250
68270,Celltrion,4292736,4682470,389734,8.31E+11,9.04E+11,73144621800
71050,KIH,2607406,2894816,287410,6.60E+11,7.29E+11,69256340250
47050,POSCO INTERNATIONAL,4177142,5193906,1016764,3.05E+11,3.72E+11,66786757100
278470,APR,3237612,3380231,142619,1.32E+12,1.39E+12,66693548500
5940,NHIS,8814844,10843251,2028407,2.94E+11,3.56E+11,62638457350
11780,KumhoPetrochem,967814,1390604,422790,1.38E+11,2.00E+11,62613080150
9540,HDKSOE,2527408,2644910,117502,1.09E+12,1.15E+12,57175113500
36570,NC,1017098,1221369,204271,2.72E+11,3.29E+11,56767717000
1040,CJ,1255168,1532359,277191,2.37E+11,2.90E+11,52779242350
5830,DB INSURANCE,3365475,3692495,327020,5.18E+11,5.70E+11,52274303150
4170,Shinsegae,778175,889740,111565,3.89E+11,4.41E+11,51645247750
00680K,MIRAE ASSET SEC(2PB),5618822,8217027,2598205,1.11E+11,1.62E+11,51507962185
9830,HANWHA SOLUTIONS,13134847,14091926,957079,5.76E+11,6.27E+11,51152308875
9155,SamsungElecMech(1P),366263,487177,120914,1.56E+11,2.06E+11,50849632500
2380,KCC,300539,392508,91969,1.71E+11,2.21E+11,49946820250
3670,POSCO FUTURE M,2653153,2778081,124928,6.74E+11,7.24E+11,49563480000
24110,IBK,15795975,18171983,2376008,3.29E+11,3.79E+11,49451972125
105560,KBFinancialGroup,13986913,14238807,251894,2.17E+12,2.22E+12,48347455750
17670,SKTelecom,11041277,11553026,511749,1.10E+12,1.15E+12,47661655700
298020,HYOSUNG TNC,196504,307064,110560,86073489750,1.33E+11,47206149000
112610,CSWIND,2755462,3655822,900360,1.56E+11,2.03E+11,47198692700
28260,SAMSUNG C&T,7534208,7743652,209444,3.08E+12,3.12E+12,46245965000
336260,Doosanfc,9530411,10164425,634014,8.13E+11,8.59E+11,45980564000
161890,KOLMAR KOREA,1488061,1955138,467077,1.39E+11,1.84E+11,44813274750
17800,Hyundai Elevator,1840718,2301669,460951,1.61E+11,2.05E+11,43789198100
155,DOOSAN(1P),176539,242820,66281,1.13E+11,1.56E+11,43078277000
815,SamsungF&MIns(1P),135703,245219,109516,51448918773,93457360273,42008441500
88350,HANWHA LIFE,54048739,61625433,7576694,2.90E+11,3.31E+11,41454095460
271560,ORION,1074602,1378379,303777,1.47E+11,1.88E+11,40979033950
5950,IsuChem,12669442,15441108,2771666,1.67E+11,2.07E+11,40089541050
8770,HtlShilla,2496809,3099561,602752,1.51E+11,1.89E+11,37181270100
241560,Doosan Bobcat,2706706,3235519,528813,1.88E+11,2.25E+11,36795934350
3230,SamyangFood,498493,523946,25453,6.62E+11,6.99E+11,36455931000
7340,DN AUTOMOTIVE,1722791,2463269,740478,82164268850,1.18E+11,36308488175
383220,F&F,806137,1256609,450472,63783907000,98843806550,35059899550
10060,OCI Holdings,2380331,2510708,130377,7.92E+11,8.27E+11,35035611250
