"Date","Asset","Type","RawValue","NormalizedOrRate","DrawdownPct"
"2006-01-31","???100","nav","1710.9571","100","0"
"2006-02-28","???100","nav","1672.0409","97.7255","-2.2745"
"2006-03-31","???100","nav","1705.3786","99.674","-0.326"
"2006-04-28","???100","nav","1702.6517","99.5146","-0.4854"
"2006-05-31","???100","nav","1582.6952","92.5035","-7.4965"
"2006-06-30","???100","nav","1578.4681","92.2564","-7.7436"
"2006-07-31","???100","nav","1512.7857","88.4175","-11.5825"
"2006-08-31","???100","nav","1584.7165","92.6216","-7.3784"
"2006-09-29","???100","nav","1659.427","96.9882","-3.0118"
"2006-10-31","???100","nav","1738.2801","101.5969","0"
"2006-11-30","???100","nav","1798.4402","105.1131","0"
"2006-12-29","???100","nav","1764.343","103.1202","-1.8959"
"2007-01-31","???100","nav","1800.0801","105.209","0"
"2007-02-28","???100","nav","1770.8119","103.4983","-1.6259"
"2007-03-30","???100","nav","1781.8294","104.1423","-1.0139"
"2007-04-30","???100","nav","1878.05","109.766","0"
"2007-05-31","???100","nav","1940.3483","113.4072","0"
"2007-06-29","???100","nav","1946.4254","113.7624","0"
"2007-07-31","???100","nav","1944.5721","113.6541","-0.0952"
"2007-08-31","???100","nav","2003.4849","117.0973","0"
"2007-09-28","???100","nav","2106.7248","123.1314","0"
"2007-10-31","???100","nav","2255.8867","131.8494","0"
"2007-11-30","???100","nav","2106.1201","123.096","-6.6389"
"2007-12-31","???100","nav","2102.3886","122.8779","-6.8043"
"2008-01-31","???100","nav","1857.0048","108.536","-17.6818"
"2008-02-29","???100","nav","1761.751","102.9687","-21.9043"
"2008-03-31","???100","nav","1799.1621","105.1553","-20.2459"
"2008-04-30","???100","nav","1936.4065","113.1768","-14.1621"
"2008-05-30","???100","nav","2054.1622","120.0592","-8.9421"
"2008-06-30","???100","nav","1856.7309","108.52","-17.694"
"2008-07-31","???100","nav","1869.1889","109.2481","-17.1417"
"2008-08-29","???100","nav","1894.4995","110.7275","-16.0197"
"2008-09-30","???100","nav","1613.4553","94.3013","-28.478"
"2008-10-31","???100","nav","1350.7953","78.9497","-40.1213"
"2008-11-28","???100","nav","1201.5173","70.2249","-46.7386"
"2008-12-31","???100","nav","1228.2547","71.7876","-45.5534"
"2009-01-30","???100","nav","1196.6351","69.9395","-46.955"
"2009-02-27","???100","nav","1134.3171","66.2972","-49.7175"
"2009-03-31","???100","nav","1256.6242","73.4457","-44.2958"
"2009-04-30","???100","nav","1416.8032","82.8076","-37.1953"
"2009-05-29","???100","nav","1460.594","85.3671","-35.2541"
"2009-06-30","???100","nav","1503.336","87.8652","-33.3594"
"2009-07-31","???100","nav","1632.061","95.3888","-27.6532"
"2009-08-31","???100","nav","1656.0929","96.7934","-26.5879"
"2009-09-30","???100","nav","1752.0932","102.4043","-22.3324"
"2009-10-30","???100","nav","1699.6425","99.3387","-24.6575"
"2009-11-30","???100","nav","1803.8257","105.4279","-20.0392"
"2009-12-31","???100","nav","1899.0654","110.9943","-15.8173"
"2010-01-29","???100","nav","1777.6739","103.8994","-21.1984"
"2010-02-26","???100","nav","1859.1635","108.6622","-17.5861"
"2010-03-31","???100","nav","2002.3707","117.0322","-11.238"
"2010-04-30","???100","nav","2046.4235","119.6069","-9.2852"
"2010-05-28","???100","nav","1896.9374","110.87","-15.9117"
"2010-06-30","???100","nav","1781.8162","104.1415","-21.0148"
"2010-07-30","???100","nav","1910.1735","111.6436","-15.3249"
"2010-08-31","???100","nav","1813.2915","105.9811","-19.6196"
"2010-09-30","???100","nav","2050.3017","119.8336","-9.1133"
"2010-10-29","???100","nav","2180.5221","127.4446","-3.3408"
"2010-11-30","???100","nav","2175.8076","127.169","-3.5498"
"2010-12-31","???100","nav","2279.8986","133.2528","0"
"2011-01-31","???100","nav","2346.1466","137.1248","0"
"2011-02-28","???100","nav","2419.5436","141.4146","0"
"2011-03-31","???100","nav","2407.9609","140.7377","-0.4787"
"2011-04-29","???100","nav","2475.6524","144.694","0"
"2011-05-31","???100","nav","2446.6787","143.0006","-1.1703"
