"자산분류","Bloomberg_Ticker","날짜","PX_LAST","Index100"
"미국 성장주","NDX Index","2006-01-03","1684720","100"
"미국 성장주","NDX Index","2006-01-04","1692610","100.468327"
"미국 성장주","NDX Index","2006-01-05","1683720","99.940643"
"미국 성장주","NDX Index","2006-01-06","1714000","101.737974"
"미국 성장주","NDX Index","2006-01-09","1702620","101.062491"
"미국 성장주","NDX Index","2006-01-10","1712710","101.661404"
"미국 성장주","NDX Index","2006-01-11","1720170","102.104207"
"미국 성장주","NDX Index","2006-01-12","1702090","101.031032"
"미국 성장주","NDX Index","2006-01-13","1725210","102.403367"
"미국 성장주","NDX Index","2006-01-17","1717380","101.938601"
"미국 성장주","NDX Index","2006-01-18","1703140","101.093357"
"미국 성장주","NDX Index","2006-01-19","1704060","101.147965"
"미국 성장주","NDX Index","2006-01-20","1654080","98.1813"
"미국 성장주","NDX Index","2006-01-23","1645290","97.659552"
"미국 성장주","NDX Index","2006-01-24","1645080","97.647087"
"미국 성장주","NDX Index","2006-01-25","1624510","96.426112"
"미국 성장주","NDX Index","2006-01-26","1638080","97.231587"
"미국 성장주","NDX Index","2006-01-27","1661150","98.600954"
"미국 성장주","NDX Index","2006-01-30","1663420","98.735695"
"미국 성장주","NDX Index","2006-01-31","1650270","97.95515"
"미국 성장주","NDX Index","2006-02-01","1648100","97.826345"
"미국 성장주","NDX Index","2006-02-02","1639070","97.290351"
"미국 성장주","NDX Index","2006-02-03","1614840","95.85213"
"미국 성장주","NDX Index","2006-02-06","1596380","94.756399"
"미국 성장주","NDX Index","2006-02-07","1599390","94.935063"
"미국 성장주","NDX Index","2006-02-08","1622860","96.328173"
"미국 성장주","NDX Index","2006-02-09","1609010","95.506078"
"미국 성장주","NDX Index","2006-02-10","1610180","95.575526"
"미국 성장주","NDX Index","2006-02-13","1607560","95.42001"
"미국 성장주","NDX Index","2006-02-14","1611930","95.679401"
"미국 성장주","NDX Index","2006-02-15","1629820","96.741298"
"미국 성장주","NDX Index","2006-02-16","1645630","97.679733"
"미국 성장주","NDX Index","2006-02-17","1629640","96.730614"
"미국 성장주","NDX Index","2006-02-21","1603610","95.18555"
"미국 성장주","NDX Index","2006-02-22","1634910","97.043426"
"미국 성장주","NDX Index","2006-02-23","1620620","96.195213"
"미국 성장주","NDX Index","2006-02-24","1620170","96.168503"
"미국 성장주","NDX Index","2006-02-27","1642840","97.514127"
"미국 성장주","NDX Index","2006-02-28","1622120","96.284249"
"미국 성장주","NDX Index","2006-03-01","1645440","97.668455"
"미국 성장주","NDX Index","2006-03-02","1641610","97.441118"
"미국 성장주","NDX Index","2006-03-03","1636060","97.111686"
"미국 성장주","NDX Index","2006-03-06","1628110","96.639798"
"미국 성장주","NDX Index","2006-03-07","1622400","96.300869"
"미국 성장주","NDX Index","2006-03-08","1630550","96.784629"
"미국 성장주","NDX Index","2006-03-09","1615730","95.904958"
"미국 성장주","NDX Index","2006-03-10","1615430","95.88715"
"미국 성장주","NDX Index","2006-03-13","1621950","96.274158"
"미국 성장주","NDX Index","2006-03-14","1642480","97.492758"
"미국 성장주","NDX Index","2006-03-15","1651840","98.04834"
"미국 성장주","NDX Index","2006-03-16","1637240","97.181728"
"미국 성장주","NDX Index","2006-03-17","1637200","97.179353"
"미국 성장주","NDX Index","2006-03-20","1633330","96.949641"
"미국 성장주","NDX Index","2006-03-21","1619450","96.125766"
"미국 성장주","NDX Index","2006-03-22","1631980","96.869509"
"미국 성장주","NDX Index","2006-03-23","1629800","96.740111"
"미국 성장주","NDX Index","2006-03-24","1645370","97.6643"
"미국 성장주","NDX Index","2006-03-27","1639710","97.328339"
"미국 성장주","NDX Index","2006-03-28","1634130","96.997127"
"미국 성장주","NDX Index","2006-03-29","1661500","98.621729"
"미국 성장주","NDX Index","2006-03-30","1667840","98.998053"
"미국 성장주","NDX Index","2006-03-31","1655360","98.257277"
"미국 성장주","NDX Index","2006-04-03","1656930","98.350468"
"미국 성장주","NDX Index","2006-04-04","1653380","98.13975"
"미국 성장주","NDX Index","2006-04-05","1658840","98.46384"
"미국 성장주","NDX Index","2006-04-06","1658330","98.433568"
"미국 성장주","NDX Index","2006-04-07","1642560","97.497507"
"미국 성장주","NDX Index","2006-04-10","1639450","97.312907"
"미국 성장주","NDX Index","2006-04-11","1627360","96.59528"
"미국 성장주","NDX Index","2006-04-12","1637240","97.181728"
"미국 성장주","NDX Index","2006-04-13","1646330","97.721283"
"미국 성장주","NDX Index","2006-04-17","1619430","96.124579"
"미국 성장주","NDX Index","2006-04-18","1646870","97.753336"
"미국 성장주","NDX Index","2006-04-19","1639620","97.322997"
"미국 성장주","NDX Index","2006-04-20","1640030","97.347334"
"미국 성장주","NDX Index","2006-04-21","1621010","96.218363"
"미국 성장주","NDX Index","2006-04-24","1603540","95.181395"
"미국 성장주","NDX Index","2006-04-25","1608060","95.449689"
"미국 성장주","NDX Index","2006-04-26","1611220","95.637257"
"미국 성장주","NDX Index","2006-04-27","1622530","96.308585"
"미국 성장주","NDX Index","2006-04-28","1604110","95.215229"
"미국 성장주","NDX Index","2006-05-01","1590730","94.421031"
"미국 성장주","NDX Index","2006-05-02","1588790","94.305879"
"미국 성장주","NDX Index","2006-05-03","1575510","93.517617"
"미국 성장주","NDX Index","2006-05-04","1598290","94.869771"
"미국 성장주","NDX Index","2006-05-05","1610320","95.583836"
"미국 성장주","NDX Index","2006-05-08","1591390","94.460207"
"미국 성장주","NDX Index","2006-05-09","1594810","94.663208"
"미국 성장주","NDX Index","2006-05-10","1574830","93.477254"
"미국 성장주","NDX Index","2006-05-11","1550740","92.047343"
"미국 성장주","NDX Index","2006-05-12","1525970","90.577069"
"미국 성장주","NDX Index","2006-05-15","1542410","91.552899"
"미국 성장주","NDX Index","2006-05-16","1534390","91.076856"
"미국 성장주","NDX Index","2006-05-17","1498100","88.922788"
"미국 성장주","NDX Index","2006-05-18","1503150","89.222541"
"미국 성장주","NDX Index","2006-05-19","1514810","89.914645"
"미국 성장주","NDX Index","2006-05-22","1508830","89.559689"
"미국 성장주","NDX Index","2006-05-23","1480830","87.897692"
"미국 성장주","NDX Index","2006-05-24","1500540","89.06762"
"미국 성장주","NDX Index","2006-05-25","1518340","90.124175"
"미국 성장주","NDX Index","2006-05-26","1518820","90.152666"
"미국 성장주","NDX Index","2006-05-30","1485970","88.202787"
"미국 성장주","NDX Index","2006-05-31","1493810","88.668147"
"미국 성장주","NDX Index","2006-06-01","1531300","90.893442"
"미국 성장주","NDX Index","2006-06-02","1529030","90.758702"
"미국 성장주","NDX Index","2006-06-05","1487580","88.298352"
"미국 성장주","NDX Index","2006-06-06","1485510","88.175483"
"미국 성장주","NDX Index","2006-06-07","1484140","88.094164"
"미국 성장주","NDX Index","2006-06-08","1488860","88.374329"
"미국 성장주","NDX Index","2006-06-09","1480400","87.872169"
"미국 성장주","NDX Index","2006-06-12","1454630","86.342538"
"미국 성장주","NDX Index","2006-06-13","1458680","86.582934"
"미국 성장주","NDX Index","2006-06-14","1472260","87.389002"
"미국 성장주","NDX Index","2006-06-15","1509530","89.601239"
"미국 성장주","NDX Index","2006-06-16","1493680","88.66043"
"미국 성장주","NDX Index","2006-06-19","1488920","88.377891"
"미국 성장주","NDX Index","2006-06-20","1481200","87.919654"
"미국 성장주","NDX Index","2006-06-21","1504010","89.273588"
