"Age","Asset","WeightPct","RoundedLabel"
"50대","미국 성장주","18.1","18"
"50대","미국 배당주","14.9","15"
"50대","중국","5.5","6"
"50대","일본","1.2","1"
"50대","한국","5.9","6"
"50대","미국 단기채","8.2","8"
"50대","한국 단기채","46.2","46"
"40대","미국 성장주","25.7","26"
"40대","미국 배당주","20.1","20"
"40대","중국","8.3","8"
"40대","일본","3.5","4"
"40대","한국","9.4","9"
"40대","미국 단기채","11.4","11"
"40대","한국 단기채","21.6","22"
"20~30대","미국 성장주","29.7","30"
"20~30대","미국 배당주","22.7","23"
"20~30대","중국","9.9","10"
"20~30대","일본","5","5"
"20~30대","한국","11.8","12"
"20~30대","미국 단기채","13.4","13"
"20~30대","한국 단기채","7.6","8"
