"FundCode","FundName","ProductName","ClassName","Vintage","Manager","OneWeek","OneMonth","ThreeMonth","SixMonth","NineMonth","OneYear","TwoYear","ThreeYear","FiveYear","YTD","NetAssets","FundAssets","InceptionDate","MajorType","MinorType","BM","Flow1YAssetsCurrent","Flow1YAssetsCompare","Flow1YAssetsChange","Flow1YCashFlow","Flow1YShareCurrent","Flow1YShareCompare","Flow1YShareChange","Flow3YAssetsCurrent","Flow3YAssetsCompare","Flow3YAssetsChange","Flow3YCashFlow","Flow3YShareCurrent","Flow3YShareCompare","Flow3YShareChange","Risk1YMeanReturn","Risk1YStdDev","Risk1YAlpha","Risk1YBeta","Risk1YRSquare","Risk1YSharpe","Risk1YTreynor","Risk1YResidualRisk","Risk1YIR","Risk1YDownsideDev","Risk1YUpsideDev","Risk1YRiskNetAssets","Risk1YModifiedSharpe","Risk3YMeanReturn","Risk3YStdDev","Risk3YAlpha","Risk3YBeta","Risk3YRSquare","Risk3YSharpe","Risk3YTreynor","Risk3YResidualRisk","Risk3YIR","Risk3YDownsideDev","Risk3YUpsideDev","Risk3YRiskNetAssets","Risk3YModifiedSharpe","AllocationEquity","AllocationBond","AllocationFuturesLong","AllocationFuturesShort","AllocationOptionsLong","AllocationOptionsShort","AllocationFundSecurities","AllocationLiquidity","AllocationNetAssets","AllocationFundAssets","AllocationETF","AllocationEquityPct","AllocationBondPct","AllocationFuturesLongPct","AllocationFuturesShortPct","AllocationFundSecuritiesPct","AllocationLiquidityPct","AllocationETFPct"
"K55101BK6778","한국투자TDF알아서2015(채혼-재간접)(A)","한국투자TDF알아서2015(채혼-재간접)","(A)","2015","한국투자신탁운용","1.37","5.87","10.24","11.3","14.86","18.43","24.94","37.04","22.59","11.98","6.48","4.08","2017-03-27","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","6.48","8.38","-1.9","-3.02","0","0","0","6.48","14","-7.52","-10.44","0","0.01","-0.01","0.32","6.61","1.86","1.08","0.6","2.09","12.85","4.18","0.65","4.34","4.14","6.44","2.09","0.2","6.08","0.93","0.8","0.57","1.17","8.92","4.14","-0.15","4.2","4.11","6.44","1.17","0","0","0","0","0","0","4.33","0.2","6.48","4.08","2.08","0","0","0","0","66.820988","3.08642","32.098765"
"K55101BK6786","한국투자TDF알아서2015(채혼-재간접)(A-e)","한국투자TDF알아서2015(채혼-재간접)","(A-e)","2015","한국투자신탁운용","1.37","5.87","10.27","11.36","14.94","18.54","25.18","37.45","23.2","12.02","7.28","4.74","2017-08-16","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","7.28","5.72","1.56","0.43","0","0","0","7.28","5.71","1.57","-0.33","0","0.01","0","0.32","6.61","1.96","1.08","0.6","2.11","12.95","4.18","0.67","4.52","4","7.24","2.11","0.2","6.08","1.03","0.8","0.57","1.19","9.04","4.14","-0.13","4.24","4.07","7.24","1.19","0","0","0","0","0","0","4.87","0.22","7.28","4.74","2.33","0","0","0","0","66.895604","3.021978","32.005495"
"K55101BK6794","한국투자TDF알아서2015(채혼-재간접)(C)","한국투자TDF알아서2015(채혼-재간접)","(C)","2015","한국투자신탁운용","1.36","5.84","10.15","11.12","14.57","18.04","24.11","35.68","20.54","11.82","0.52","0.35","2017-07-03","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.52","1.38","-0.86","-0.96","0","0","0","0.52","4.67","-4.15","-4.86","0","0","0","0.31","6.61","1.52","1.08","0.6","2.04","12.54","4.18","0.57","4.37","4.11","0.52","2.04","0.19","6.08","0.6","0.8","0.57","1.12","8.5","4.14","-0.23","4.21","4.1","0.52","1.12","0","0","0","0","0","0","0.35","0.02","0.52","0.35","0.17","0","0","0","0","67.307692","3.846154","32.692308"
"K55101BK6802","한국투자TDF알아서2015(채혼-재간접)(C-e)","한국투자TDF알아서2015(채혼-재간접)","(C-e)","2015","한국투자신탁운용","1.37","5.86","10.22","11.27","14.8","18.35","24.76","36.76","22.17","11.94","1.91","1.25","2017-07-11","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","1.91","2.85","-0.94","-1.36","0","0","0","1.91","3.83","-1.92","-2.85","0","0","0","0.32","6.61","1.79","1.08","0.6","2.08","12.79","4.18","0.63","4.34","4.14","1.9","2.08","0.2","6.08","0.86","0.8","0.57","1.16","8.83","4.14","-0.17","4.21","4.1","1.9","1.16","0","0","0","0","0","0","1.28","0.06","1.91","1.25","0.61","0","0","0","0","67.015707","3.141361","31.937173"
"K55101BK6828","한국투자TDF알아서2015(채혼-재간접)(C-P)","한국투자TDF알아서2015(채혼-재간접)","(C-P)","2015","한국투자신탁운용","1.36","5.84","10.17","11.15","14.61","18.09","24.22","35.87","20.84","11.84","225.87","145.5","2017-03-08","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","225.87","248.43","-22.56","-61.28","0.06","0.13","-0.07","225.87","258.86","-32.99","-107.52","0.06","0.23","-0.17","0.31","6.61","1.57","1.08","0.6","2.05","12.59","4.18","0.58","4.36","4.11","225.58","2.05","0.19","6.08","0.64","0.8","0.57","1.13","8.56","4.14","-0.22","4.21","4.11","225.58","1.13","0","0","0","0","0","0","151.07","6.81","225.87","145.5","72.43","0","0","0","0","66.883606","3.015009","32.067118"
"K55101BK6836","한국투자TDF알아서2015(채혼-재간접)(C-R)","한국투자TDF알아서2015(채혼-재간접)","(C-R)","2015","한국투자신탁운용","1.36","5.85","10.19","11.2","14.7","18.21","24.47","36.27","21.44","11.89","919.76","587.69","2017-03-07","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","919.76","929.38","-9.62","-161.71","0.26","0.5","-0.24","919.76","1004.61","-84.85","-373.04","0.26","0.9","-0.64","0.31","6.61","1.67","1.08","0.6","2.07","12.68","4.18","0.61","4.35","4.12","916.93","2.07","0.19","6.08","0.74","0.8","0.57","1.14","8.68","4.14","-0.19","4.2","4.12","916.93","1.14","0","0","0","0","0","0","615.19","27.73","919.76","587.69","294.94","0","0","0","0","66.885927","3.014917","32.067061"
"K55101BK6851","한국투자TDF알아서2015(채혼-재간접)(C-W)","한국투자TDF알아서2015(채혼-재간접)","(C-W)","2015","한국투자신탁운용","1.37","5.89","10.33","11.47","15.12","18.79","25.67","38.23","24.15","12.12","","","2017-10-13","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0","0.01","0","0","0","0","0","0","0.42","-0.41","-0.42","0","0","0","0.32","6.61","2.16","1.08","0.6","2.14","13.14","4.18","0.72","4.5","4.02","0","2.14","0.2","6.08","1.22","0.8","0.57","1.22","9.28","4.14","-0.08","4.22","4.09","0","1.22","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"K55101BK6869","한국투자TDF알아서2015(채혼-재간접)(S)","한국투자TDF알아서2015(채혼-재간접)","(S)","2015","한국투자신탁운용","1.38","5.9","10.36","11.55","14.95","18.56","25.23","37.53","23.3","12.18","","","2018-01-11","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0","0.06","-0.06","-0.06","0","0","0","0","0.43","-0.43","-0.48","0","0","0","0.32","6.6","2.04","1.07","0.6","2.12","13.04","4.19","0.67","4.52","4.03","0","2.12","0.2","6.07","1.06","0.8","0.57","1.2","9.08","4.15","-0.12","4.24","4.08","0","1.2","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"K55101BK6877","한국투자TDF알아서2015(채혼-재간접)(S-P)","한국투자TDF알아서2015(채혼-재간접)","(S-P)","2015","한국투자신탁운용","1.37","5.88","10.27","11.37","14.96","18.57","25.24","37.54","23.33","12.03","1.12","0.73","2017-11-15","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","1.12","1.08","0.03","-0.15","0","0","0","1.12","1.76","-0.64","-1.05","0","0","0","0.32","6.61","1.98","1.08","0.6","2.11","12.97","4.18","0.68","4.52","4","1.11","2.11","0.2","6.08","1.05","0.8","0.57","1.19","9.07","4.14","-0.12","4.24","4.07","1.11","1.19","0","0","0","0","0","0","0.75","0.03","1.12","0.73","0.36","0","0","0","0","66.964286","2.678571","32.142857"
"K55101BK6893","한국투자적격TDF알아서2040(주혼-재간접)(A)","한국투자적격TDF알아서2040(주혼-재간접)","(A)","2040","한국투자신탁운용","1.97","8.69","16.67","19.35","25.5","30.82","38","60.5","41.83","19.55","10.65","5.07","2017-04-06","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","10.65","15.07","-4.42","-7.74","0","0.01","-0.01","10.65","24.88","-14.23","-22.02","0","0.02","-0.02","0.5","11.09","2.41","1.89","0.66","2.12","12.41","7.72","1.6","7.96","8.01","10.54","2.12","0.3","9.97","1.55","1.39","0.64","1.24","8.87","6.39","0.72","6.19","6.66","10.54","1.24","0","0","0","0","0","0","6.26","0.24","10.65","5.07","4.3","0","0","0","0","58.779343","2.253521","40.375587"
