"FundCode","FundName","ProductName","ClassName","Vintage","Manager","OneWeek","OneMonth","ThreeMonth","SixMonth","NineMonth","OneYear","TwoYear","ThreeYear","FiveYear","YTD","NetAssets","FundAssets","InceptionDate","MajorType","MinorType","BM","Flow1YAssetsCurrent","Flow1YAssetsCompare","Flow1YAssetsChange","Flow1YCashFlow","Flow1YShareCurrent","Flow1YShareCompare","Flow1YShareChange","Flow3YAssetsCurrent","Flow3YAssetsCompare","Flow3YAssetsChange","Flow3YCashFlow","Flow3YShareCurrent","Flow3YShareCompare","Flow3YShareChange","Risk1YMeanReturn","Risk1YStdDev","Risk1YAlpha","Risk1YBeta","Risk1YRSquare","Risk1YSharpe","Risk1YTreynor","Risk1YResidualRisk","Risk1YIR","Risk1YDownsideDev","Risk1YUpsideDev","Risk1YRiskNetAssets","Risk1YModifiedSharpe","Risk3YMeanReturn","Risk3YStdDev","Risk3YAlpha","Risk3YBeta","Risk3YRSquare","Risk3YSharpe","Risk3YTreynor","Risk3YResidualRisk","Risk3YIR","Risk3YDownsideDev","Risk3YUpsideDev","Risk3YRiskNetAssets","Risk3YModifiedSharpe","AllocationEquity","AllocationBond","AllocationFuturesLong","AllocationFuturesShort","AllocationOptionsLong","AllocationOptionsShort","AllocationFundSecurities","AllocationLiquidity","AllocationNetAssets","AllocationFundAssets","AllocationETF","AllocationEquityPct","AllocationBondPct","AllocationFuturesLongPct","AllocationFuturesShortPct","AllocationFundSecuritiesPct","AllocationLiquidityPct","AllocationETFPct"
"K55105BU1153","삼성글로벌액티브TDF2015H[채혼-재간접]_Cpe(퇴직연금)","삼성글로벌액티브TDF2015H[채혼-재간접]","_Cpe(퇴직연금)","2015","삼성운용","0.85","3.18","4.6","6.25","9.01","12.8","20.08","28.66","17.65","5.78","272.49","197.4","2017-08-03","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","272.49","168.38","104.12","78.83","0.08","0.09","-0.01","272.49","166.62","105.87","60.01","0.08","0.15","-0.07","0.23","5.38","-0.78","0.92","0.66","1.76","10.28","3.14","-0.53","3.53","2.82","271.73","1.76","0.16","5.57","-0.26","0.69","0.51","0.92","7.38","4.29","-0.62","4.37","4.27","271.73","0.92","0","0","0","0","0","0","194.74","10.86","272.49","197.4","77.37","0","0","0","0","71.466843","3.985467","28.393703"
"K55101BK6836","한국투자TDF알아서2015(채혼-재간접)(C-R)","한국투자TDF알아서2015(채혼-재간접)","(C-R)","2015","한국투자신탁운용","1.36","5.85","10.19","11.2","14.7","18.21","24.47","36.27","21.44","11.89","919.76","587.69","2017-03-07","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","919.76","929.38","-9.62","-161.71","0.26","0.5","-0.24","919.76","1004.61","-84.85","-373.04","0.26","0.9","-0.64","0.31","6.61","1.67","1.08","0.6","2.07","12.68","4.18","0.61","4.35","4.12","916.93","2.07","0.19","6.08","0.74","0.8","0.57","1.14","8.68","4.14","-0.19","4.2","4.12","916.93","1.14","0","0","0","0","0","0","615.19","27.73","919.76","587.69","294.94","0","0","0","0","66.885927","3.014917","32.067061"
"K55223BT0775","KB온국민TDF2020(채혼-재간접)C-퇴직","KB온국민TDF2020(채혼-재간접)","C-퇴직","2020","KB운용","1.46","5.83","11.16","12","16.61","20.83","27.79","39.64","29.67","12.16","874.38","608.03","2017-07-31","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","874.38","812.97","61.41","-99.06","0.25","0.44","-0.19","874.38","864.16","10.22","-278.61","0.25","0.78","-0.53","0.35","6.29","3.74","1.05","0.64","2.46","14.68","3.79","1.14","4.16","3.69","885.9","2.46","0.21","6.05","1.67","0.77","0.54","1.27","9.91","4.31","-0.02","4.58","4.09","885.9","1.27","0","0","0","0","0","0","497.83","25.99","874.38","608.03","375.12","0","0","0","0","56.9352","2.972392","42.901256"
"K55105BC8861","삼성글로벌액티브TDF2020H[채혼-재간접]_Cp(퇴직연금)","삼성글로벌액티브TDF2020H[채혼-재간접]","_Cp(퇴직연금)","2020","삼성운용","0.93","3.4","4.92","6.6","9.64","13.92","21.64","30.42","18.6","6.1","1441.36","955.85","2016-04-21","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","1441.36","1439.33","2.03","-187.4","0.41","0.77","-0.36","1441.36","1674.5","-233.15","-621.65","0.41","1.5","-1.09","0.25","5.9","-1","1.03","0.69","1.77","10.16","3.27","-0.2","3.47","3.13","1442.01","1.77","0.17","5.92","-0.31","0.75","0.53","0.93","7.34","4.29","-0.52","4.24","4.4","1442.01","0.93","0","0","0","0","0","0","1034.2","60.79","1441.36","955.85","388.07","0","0","0","0","71.751679","4.217545","26.923877"
"K55101BK8436","한국투자TDF알아서2020자(채혼-재간접)C-R","한국투자TDF알아서2020자(채혼-재간접)","C-R","2020","한국투자신탁운용","1.34","5.75","9.96","11.09","14.71","18.33","24.33","36.89","22.65","11.77","323.92","197.65","2017-03-07","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","323.92","257.53","66.39","16.91","0.09","0.14","-0.05","323.92","248.59","75.32","-10.82","0.09","0.22","-0.13","0.32","6.53","1.81","1.07","0.62","2.11","12.81","4.06","0.65","4.42","3.86","321.66","2.11","0.2","6.19","0.66","0.83","0.59","1.15","8.56","4.07","-0.16","4.15","4.02","321.66","1.15","0","0","0","0","0","0","318.33","5.24","323.92","197.65","0","0","0","0","0","98.274265","1.617683","0"
"K55101BV8110","한국투자신종개인연금TDF알아서2020자(채혼-재간접)(C)","한국투자신종개인연금TDF알아서2020자(채혼-재간접)","(C)","2020","한국투자신탁운용","1.34","5.73","9.93","11.03","14.61","18.19","24.05","36.46","21.93","11.71","202.02","175.9","2017-08-23","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","202.02","187.29","14.73","-18.29","0.06","0.1","-0.04","202.02","160.61","41.41","-16.63","0.06","0.14","-0.09","0.31","6.53","1.69","1.07","0.62","2.09","12.71","4.06","0.62","4.43","3.85","206.87","2.09","0.2","6.19","0.56","0.83","0.59","1.13","8.43","4.07","-0.19","4.16","4.01","206.87","1.13","0","0","0","0","0","0","198.37","3.48","202.02","175.9","0","0","0","0","0","98.193248","1.722602","0"
"K55213C50561","한화LIFEPLUSTDF2020자(채혼-재간접)종류C-RPE(퇴직연금)","한화LIFEPLUSTDF2020자(채혼-재간접)","종류C-RPE(퇴직연금)","2020","한화운용","0.88","3.17","5.82","7.94","12.97","17.58","23.93","33.97","24.9","7.99","141.04","95.02","2018-05-24","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","141.04","103.15","37.89","18","0.04","0.06","-0.02","141.04","105.38","35.66","3.67","0.04","0.09","-0.05","0.3","4.41","5.18","0.71","0.59","2.97","18.42","3.14","0.63","3.67","2.84","141.99","2.97","0.18","5.22","1.31","0.66","0.53","1.23","9.73","4.08","-0.32","4.41","3.78","141.99","1.23","0","0","0","0","0","0","140.18","0.88","141.04","95.02","0","0","0","0","0","99.390244","0.623936","0"
"K55213CC7887","한화신종개인연금TDF2020전환자(채혼-재간접)","한화신종개인연금TDF2020전환자(채혼-재간접)","","2020","한화운용","0.88","3.14","5.74","7.79","12.73","17.24","23.21","32.82","22.98","7.87","63.82","59.17","2018-08-24","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","63.82","53.48","10.33","0.73","0.02","0.03","-0.01","63.82","55.56","8.25","-7.97","0.02","0.05","-0.03","0.3","4.41","4.89","0.71","0.59","2.9","18.01","3.14","0.53","3.61","2.86","65.59","2.9","0.18","5.21","1.02","0.66","0.53","1.18","9.31","4.08","-0.4","4.41","3.77","65.59","1.18","0","0","0","0","0","0","63.46","0.39","63.82","59.17","0","0","0","0","0","99.435914","0.611094","0"
"K55223BT0924","KB온국민적격TDF2025(채혼-재간접)C-퇴직","KB온국민적격TDF2025(채혼-재간접)","C-퇴직","2025","KB운용","1.46","5.88","11.29","12.12","16.74","20.97","28.37","40.91","31.66","12.28","1157.07","790.69","2017-07-31","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","1157.07","1053.04","104.02","-105.18","0.33","0.57","-0.23","1157.07","991.03","166.04","-204.4","0.33","0.89","-0.56","0.35","6.3","3.82","1.06","0.64","2.47","14.75","3.8","1.17","4.14","3.72","1153.92","2.47","0.21","6.16","1.85","0.79","0.54","1.3","10.09","4.34","0.05","4.61","4.13","1153.92","1.3","0","0","0","0","0","0","668.92","16.31","1157.07","790.69","491.43","0","0","0","0","57.811541","1.409595","42.471933"
"K55232CI3580","NH-Amundi하나로적격TDF2025[채혼-재간접]ClassC-P2e(퇴직연금)","NH-Amundi하나로적격TDF2025[채혼-재간접]","ClassC-P2e(퇴직연금)","2025","NH-Amundi운용","-0.1","0.35","0.77","4.9","8.75","13.23","20.9","39.44","36.18","4.69","364.39","252.22","2019-07-19","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","364.39","254.41","109.98","73.2","0.1","0.14","-0.03","364.39","40.47","323.92","266.1","0.1","0.04","0.07","0.25","3.91","4.62","0.5","0.37","2.59","20.43","3.93","-0.25","4.11","3.8","369.34","2.59","0.21","6.05","2.12","0.75","0.51","1.31","10.59","4.48","0.04","4.7","4.3","369.34","1.31","0","0","0","0","0","0","286.26","25.02","364.39","252.22","65.7","0","0","0","0","78.558687","6.86627","18.030133"
